model,file_path,size_mb
gpt2-finetuned-onnx-fp32,../models/onnx-gpt2/gpt2_fp32.onnx,475.1252899169922
gpt2-finetuned-onnx-int8,../models/onnx-gpt2/gpt2_int8.onnx,119.68791580200195
